,USAGE_DATE,FACILITY_NAME,attendance,Year,Month,Day_of_Week,mean_attendance,std_attendance,standardized_attendance
21,2018-06-11,Tivoli Gardens,20253,2018,6,Monday,22760.57476635514,7124.5909205696535,-0.3519605257777587
22,2018-06-12,PortAventura World,34307,2018,6,Tuesday,45461.004672897194,13418.682301511513,-0.8312295069122234
23,2018-06-12,Tivoli Gardens,18715,2018,6,Tuesday,22760.57476635514,7124.5909205696535,-0.5678325691198665
24,2018-06-13,PortAventura World,41448,2018,6,Wednesday,45461.004672897194,13418.682301511513,-0.29906100932467555
25,2018-06-13,Tivoli Gardens,21217,2018,6,Wednesday,22760.57476635514,7124.5909205696535,-0.2166545116153452
26,2018-06-14,PortAventura World,41817,2018,6,Thursday,45461.004672897194,13418.682301511513,-0.27156203500598
27,2018-06-14,Tivoli Gardens,22656,2018,6,Thursday,22760.57476635514,7124.5909205696535,-0.014678002922696881
28,2018-06-15,PortAventura World,42530,2018,6,Friday,45461.004672897194,13418.682301511513,-0.21842716050942187
29,2018-06-15,Tivoli Gardens,24449,2018,6,Friday,22760.57476635514,7124.5909205696535,0.23698556906195806
30,2018-06-16,PortAventura World,54361,2018,6,Saturday,45461.004672897194,13418.682301511513,0.6632540458984031
31,2018-06-16,Tivoli Gardens,28194,2018,6,Saturday,22760.57476635514,7124.5909205696535,0.7626297838319149
32,2018-06-17,PortAventura World,39359,2018,6,Sunday,45461.004672897194,13418.682301511513,-0.45473948453268387
33,2018-06-17,Tivoli Gardens,25786,2018,6,Sunday,22760.57476635514,7124.5909205696535,0.42464546629758754
34,2018-06-18,PortAventura World,37090,2018,6,Monday,45461.004672897194,13418.682301511513,-0.62383209355469
35,2018-06-18,Tivoli Gardens,16283,2018,6,Monday,22760.57476635514,7124.5909205696535,-0.909185501114669
36,2018-06-19,PortAventura World,41024,2018,6,Tuesday,45461.004672897194,13418.682301511513,-0.33065874675320384
37,2018-06-19,Tivoli Gardens,19780,2018,6,Tuesday,22760.57476635514,7124.5909205696535,-0.4183503024362873
38,2018-06-20,PortAventura World,40455,2018,6,Wednesday,45461.004672897194,13418.682301511513,-0.37306231419856367
39,2018-06-20,Tivoli Gardens,20334,2018,6,Wednesday,22760.57476635514,7124.5909205696535,-0.3405914519736555
40,2018-06-21,PortAventura World,42193,2018,6,Thursday,45461.004672897194,13418.682301511513,-0.24354139992785118
41,2018-06-21,Tivoli Gardens,21564,2018,6,Thursday,22760.57476635514,7124.5909205696535,-0.1679499608743105
42,2018-06-22,PortAventura World,41569,2018,6,Friday,45461.004672897194,13418.682301511513,-0.2900437304830437
43,2018-06-22,Tivoli Gardens,19632,2018,6,Friday,22760.57476635514,7124.5909205696535,-0.43912342494254997
44,2018-06-23,PortAventura World,58821,2018,6,Saturday,45461.004672897194,13418.682301511513,0.9956264726230163
45,2018-06-23,Tivoli Gardens,33975,2018,6,Saturday,22760.57476635514,7124.5909205696535,1.5740447919988365
46,2018-06-24,PortAventura World,49889,2018,6,Sunday,45461.004672897194,13418.682301511513,0.32998734358619
47,2018-06-24,Tivoli Gardens,31151,2018,6,Sunday,22760.57476635514,7124.5909205696535,1.1776711571496086
48,2018-06-25,PortAventura World,53176,2018,6,Monday,45461.004672897194,13418.682301511513,0.5749443316229172
49,2018-06-25,Tivoli Gardens,24384,2018,6,Monday,22760.57476635514,7124.5909205696535,0.22786223823150487
50,2018-06-26,PortAventura World,52876,2018,6,Tuesday,45461.004672897194,13418.682301511513,0.5525874419329209
51,2018-06-26,Tivoli Gardens,25977,2018,6,Tuesday,22760.57476635514,7124.5909205696535,0.4514540230455346
52,2018-06-27,PortAventura World,50993,2018,6,Wednesday,45461.004672897194,13418.682301511513,0.41226069764537676
53,2018-06-27,Tivoli Gardens,27053,2018,6,Wednesday,22760.57476635514,7124.5909205696535,0.6024802380234981
54,2018-06-28,PortAventura World,51994,2018,6,Thursday,45461.004672897194,13418.682301511513,0.4868581862443314
55,2018-06-28,Tivoli Gardens,27260,2018,6,Thursday,22760.57476635514,7124.5909205696535,0.6315345377450953
56,2018-06-29,PortAventura World,50478,2018,6,Friday,45461.004672897194,13418.682301511513,0.37388137034421626
57,2018-06-29,Tivoli Gardens,32666,2018,6,Friday,22760.57476635514,7124.5909205696535,1.3903149449670944
58,2018-06-30,PortAventura World,58315,2018,6,Saturday,45461.004672897194,13418.682301511513,0.9579178520125557
59,2018-06-30,Tivoli Gardens,36005,2018,6,Saturday,22760.57476635514,7124.5909205696535,1.8589734317806823
60,2018-07-01,PortAventura World,48253,2018,7,Sunday,45461.004672897194,13418.682301511513,0.20806777181007624
61,2018-07-01,Tivoli Gardens,28878,2018,7,Sunday,22760.57476635514,7124.5909205696535,0.8586352959554532
62,2018-07-02,PortAventura World,47915,2018,7,Monday,45461.004672897194,13418.682301511513,0.18287900942601362
63,2018-07-02,Tivoli Gardens,22008,2018,7,Monday,22760.57476635514,7124.5909205696535,-0.10563059335552254
64,2018-07-03,PortAventura World,46968,2018,7,Tuesday,45461.004672897194,13418.682301511513,0.1123057609712583
65,2018-07-03,Tivoli Gardens,24406,2018,7,Tuesday,22760.57476635514,7124.5909205696535,0.23095013482027363
66,2018-07-04,PortAventura World,49858,2018,7,Wednesday,45461.004672897194,13418.682301511513,0.327677131651557
67,2018-07-04,Tivoli Gardens,25517,2018,7,Wednesday,22760.57476635514,7124.5909205696535,0.38688891255309665
68,2018-07-05,PortAventura World,47216,2018,7,Thursday,45461.004672897194,13418.682301511513,0.130787456448322
69,2018-07-05,Tivoli Gardens,25058,2018,7,Thursday,22760.57476635514,7124.5909205696535,0.3224641609965118
70,2018-07-06,PortAventura World,43111,2018,7,Friday,45461.004672897194,13418.682301511513,-0.17512931747646215
71,2018-07-06,Tivoli Gardens,22756,2018,7,Friday,22760.57476635514,7124.5909205696535,-0.0006421093373842799
72,2018-07-07,PortAventura World,53368,2018,7,Saturday,45461.004672897194,13418.682301511513,0.589252741024515
73,2018-07-07,Tivoli Gardens,33899,2018,7,Saturday,22760.57476635514,7124.5909205696535,1.5633775128739988
74,2018-07-08,PortAventura World,45474,2018,7,Sunday,45461.004672897194,13418.682301511513,0.000968450315076195
75,2018-07-08,Tivoli Gardens,27247,2018,7,Sunday,22760.57476635514,7124.5909205696535,0.6297098715790046
76,2018-07-09,PortAventura World,47896,2018,7,Monday,45461.004672897194,13418.682301511513,0.18146307307898052
77,2018-07-09,Tivoli Gardens,21876,2018,7,Monday,22760.57476635514,7124.5909205696535,-0.12415797288813517
78,2018-07-10,PortAventura World,48277,2018,7,Tuesday,45461.004672897194,13418.682301511513,0.20985632298527596
79,2018-07-10,Tivoli Gardens,24157,2018,7,Tuesday,22760.57476635514,7124.5909205696535,0.19600075979284526
80,2018-07-11,PortAventura World,47003,2018,7,Wednesday,45461.004672897194,13418.682301511513,0.11491406476842454
81,2018-07-11,Tivoli Gardens,24193,2018,7,Wednesday,22760.57476635514,7124.5909205696535,0.2010536814835578
82,2018-07-12,PortAventura World,49209,2018,7,Thursday,45461.004672897194,13418.682301511513,0.27931172695553147
83,2018-07-12,Tivoli Gardens,24531,2018,7,Thursday,22760.57476635514,7124.5909205696535,0.2484950018019144
84,2018-07-13,PortAventura World,37971,2018,7,Friday,45461.004672897194,13418.682301511513,-0.558177360831734
85,2018-07-13,Tivoli Gardens,19013,2018,7,Friday,22760.57476635514,7124.5909205696535,-0.526005606235635
86,2018-07-14,PortAventura World,56394,2018,7,Saturday,45461.004672897194,13418.682301511513,0.8147592350309454
87,2018-07-14,Tivoli Gardens,25567,2018,7,Saturday,22760.57476635514,7124.5909205696535,0.3939068593457529
88,2018-07-15,PortAventura World,37457,2018,7,Sunday,45461.004672897194,13418.682301511513,-0.596482165167261
89,2018-07-15,Tivoli Gardens,20521,2018,7,Sunday,22760.57476635514,7124.5909205696535,-0.3143443309691209
90,2018-07-16,PortAventura World,44653,2018,7,Monday,45461.004672897194,13418.682301511513,-0.060214904469880634
91,2018-07-16,Tivoli Gardens,19965,2018,7,Monday,22760.57476635514,7124.5909205696535,-0.39238389930345896
92,2018-07-17,PortAventura World,51942,2018,7,Tuesday,45461.004672897194,13418.682301511513,0.4829829920313987
93,2018-07-17,Tivoli Gardens,24192,2018,7,Tuesday,22760.57476635514,7124.5909205696535,0.20091332254770466
94,2018-07-18,PortAventura World,52475,2018,7,Wednesday,45461.004672897194,13418.682301511513,0.522703732713959
95,2018-07-18,Tivoli Gardens,27635,2018,7,Wednesday,22760.57476635514,7124.5909205696535,0.6841691386900175
96,2018-07-19,PortAventura World,49957,2018,7,Thursday,45461.004672897194,13418.682301511513,0.33505490524925585
97,2018-07-19,Tivoli Gardens,25259,2018,7,Thursday,22760.57476635514,7124.5909205696535,0.35067630710299014
98,2018-07-20,PortAventura World,38078,2018,7,Friday,45461.004672897194,13418.682301511513,-0.5502034035089686
99,2018-07-20,Tivoli Gardens,20637,2018,7,Friday,22760.57476635514,7124.5909205696535,-0.2980626944101583
100,2018-07-21,PortAventura World,59066,2018,7,Saturday,45461.004672897194,13418.682301511513,1.01388459920318
101,2018-07-21,Tivoli Gardens,28007,2018,7,Saturday,22760.57476635514,7124.5909205696535,0.7363826628273804
102,2018-07-22,PortAventura World,50531,2018,7,Sunday,45461.004672897194,13418.682301511513,0.37783108752278227
103,2018-07-22,Tivoli Gardens,26290,2018,7,Sunday,22760.57476635514,7124.5909205696535,0.495386369967563
104,2018-07-23,PortAventura World,54214,2018,7,Monday,45461.004672897194,13418.682301511513,0.6522991699503048
105,2018-07-23,Tivoli Gardens,24870,2018,7,Monday,22760.57476635514,7124.5909205696535,0.2960766810561241
106,2018-07-24,PortAventura World,58843,2018,7,Tuesday,45461.004672897194,13418.682301511513,0.9972659778669494
107,2018-07-24,Tivoli Gardens,27505,2018,7,Tuesday,22760.57476635514,7124.5909205696535,0.6659224770291111
108,2018-07-25,PortAventura World,53768,2018,7,Wednesday,45461.004672897194,13418.682301511513,0.6190619272778435
109,2018-07-25,Tivoli Gardens,27395,2018,7,Wednesday,22760.57476635514,7124.5909205696535,0.6504829940852673
110,2018-07-26,PortAventura World,51283,2018,7,Thursday,45461.004672897194,13418.682301511513,0.4338723576790399
111,2018-07-26,Tivoli Gardens,24784,2018,7,Thursday,22760.57476635514,7124.5909205696535,0.28400581257275526
112,2018-07-27,PortAventura World,42794,2018,7,Friday,45461.004672897194,13418.682301511513,-0.19875309758222504
113,2018-07-27,Tivoli Gardens,22053,2018,7,Friday,22760.57476635514,7124.5909205696535,-0.09931444124213187
114,2018-07-28,PortAventura World,60031,2018,7,Saturday,45461.004672897194,13418.682301511513,1.0857992610393352
115,2018-07-28,Tivoli Gardens,28300,2018,7,Saturday,22760.57476635514,7124.5909205696535,0.7775078310323463
116,2018-07-29,PortAventura World,50327,2018,7,Sunday,45461.004672897194,13418.682301511513,0.36262840253358475
117,2018-07-29,Tivoli Gardens,27015,2018,7,Sunday,22760.57476635514,7124.5909205696535,0.5971465984610794
118,2018-07-30,PortAventura World,53319,2018,7,Monday,45461.004672897194,13418.682301511513,0.5856011157084822
119,2018-07-30,Tivoli Gardens,24944,2018,7,Monday,22760.57476635514,7124.5909205696535,0.3064632423092554
120,2018-07-31,PortAventura World,56054,2018,7,Tuesday,45461.004672897194,13418.682301511513,0.7894214267156161
121,2018-07-31,Tivoli Gardens,27348,2018,7,Tuesday,22760.57476635514,7124.5909205696535,0.6438861241001703
122,2018-08-01,PortAventura World,54946,2018,8,Wednesday,45461.004672897194,13418.682301511513,0.706849980793896
123,2018-08-01,Tivoli Gardens,27324,2018,8,Wednesday,22760.57476635514,7124.5909205696535,0.6405175096396953
124,2018-08-02,PortAventura World,52467,2018,8,Thursday,45461.004672897194,13418.682301511513,0.5221075489888924
125,2018-08-02,Tivoli Gardens,26237,2018,8,Thursday,22760.57476635514,7124.5909205696535,0.4879473463673474
126,2018-08-03,PortAventura World,44528,2018,8,Friday,45461.004672897194,13418.682301511513,-0.06953027517404581
127,2018-08-03,Tivoli Gardens,21264,2018,8,Friday,22760.57476635514,7124.5909205696535,-0.2100576416302483
128,2018-08-04,PortAventura World,48875,2018,8,Saturday,45461.004672897194,13418.682301511513,0.25442105643400215
129,2018-08-04,Tivoli Gardens,22662,2018,8,Saturday,22760.57476635514,7124.5909205696535,-0.013835849307578125
130,2018-08-05,PortAventura World,44848,2018,8,Sunday,45461.004672897194,13418.682301511513,-0.045682926171382976
131,2018-08-05,Tivoli Gardens,22506,2018,8,Sunday,22760.57476635514,7124.5909205696535,-0.03573184330066578
132,2018-08-06,PortAventura World,55363,2018,8,Monday,45461.004672897194,13418.682301511513,0.7379260574629911
133,2018-08-06,Tivoli Gardens,24097,2018,8,Monday,22760.57476635514,7124.5909205696535,0.18757922364165772
134,2018-08-07,PortAventura World,56383,2018,8,Tuesday,45461.004672897194,13418.682301511513,0.8139394824089788
135,2018-08-07,Tivoli Gardens,26392,2018,8,Tuesday,22760.57476635514,7124.5909205696535,0.5097029814245819
136,2018-08-08,PortAventura World,72199,2018,8,Wednesday,45461.004672897194,13418.682301511513,1.9925947068655894
137,2018-08-08,Tivoli Gardens,34996,2018,8,Wednesday,22760.57476635514,7124.5909205696535,1.7173512655048782
138,2018-08-09,PortAventura World,46583,2018,8,Thursday,45461.004672897194,13418.682301511513,0.08361441920242958
139,2018-08-09,Tivoli Gardens,26732,2018,8,Thursday,22760.57476635514,7124.5909205696535,0.5574250196146447
140,2018-08-10,PortAventura World,64516,2018,8,Friday,45461.004672897194,13418.682301511513,1.4200347619047815
141,2018-08-10,Tivoli Gardens,27670,2018,8,Friday,22760.57476635514,7124.5909205696535,0.6890817014448769
142,2018-08-11,PortAventura World,61914,2018,8,Saturday,45461.004672897194,13418.682301511513,1.2261260053268792
143,2018-08-11,Tivoli Gardens,25711,2018,8,Saturday,22760.57476635514,7124.5909205696535,0.4141185461086031
144,2018-08-12,PortAventura World,55194,2018,8,Sunday,45461.004672897194,13418.682301511513,0.7253316762709597
145,2018-08-12,Tivoli Gardens,24767,2018,8,Sunday,22760.57476635514,7124.5909205696535,0.28161971066325214
146,2018-08-13,PortAventura World,45891,2018,8,Monday,45461.004672897194,13418.682301511513,0.0320445269841712
147,2018-08-13,Tivoli Gardens,20968,2018,8,Monday,22760.57476635514,7124.5909205696535,-0.2516038866427736
148,2018-08-14,PortAventura World,61948,2018,8,Tuesday,45461.004672897194,13418.682301511513,1.228659786158412
149,2018-08-14,Tivoli Gardens,29767,2018,8,Tuesday,22760.57476635514,7124.5909205696535,0.9834143899288822
150,2018-08-15,PortAventura World,53729,2018,8,Wednesday,45461.004672897194,13418.682301511513,0.616155531618144
151,2018-08-15,Tivoli Gardens,27179,2018,8,Wednesday,22760.57476635514,7124.5909205696535,0.620165463940992
152,2018-08-16,PortAventura World,57342,2018,8,Thursday,45461.004672897194,13418.682301511513,0.8854070064513341
153,2018-08-16,Tivoli Gardens,27594,2018,8,Thursday,22760.57476635514,7124.5909205696535,0.6784144223200393
154,2018-08-17,PortAventura World,53883,2018,8,Friday,45461.004672897194,13418.682301511513,0.6276320683256754
155,2018-08-17,Tivoli Gardens,26386,2018,8,Friday,22760.57476635514,7124.5909205696535,0.5088608278094632
156,2018-08-18,PortAventura World,63711,2018,8,Saturday,45461.004672897194,13418.682301511513,1.3600437745699578
157,2018-08-18,Tivoli Gardens,29636,2018,8,Saturday,22760.57476635514,7124.5909205696535,0.9650273693321227
158,2018-08-19,PortAventura World,55109,2018,8,Sunday,45461.004672897194,13418.682301511513,0.7189972241921274
159,2018-08-19,Tivoli Gardens,28419,2018,8,Sunday,22760.57476635514,7124.5909205696535,0.7942105443988683
160,2018-08-20,PortAventura World,57740,2018,8,Monday,45461.004672897194,13418.682301511513,0.915067146773396
161,2018-08-20,Tivoli Gardens,26799,2018,8,Monday,22760.57476635514,7124.5909205696535,0.5668290683168042
162,2018-08-21,PortAventura World,63759,2018,8,Tuesday,45461.004672897194,13418.682301511513,1.363620876920357
163,2018-08-21,Tivoli Gardens,29424,2018,8,Tuesday,22760.57476635514,7124.5909205696535,0.9352712749312599
164,2018-08-22,PortAventura World,60196,2018,8,Wednesday,45461.004672897194,13418.682301511513,1.0980955503688332
165,2018-08-22,Tivoli Gardens,30712,2018,8,Wednesday,22760.57476635514,7124.5909205696535,1.1160535843100863
166,2018-08-23,PortAventura World,77261,2018,8,Thursday,45461.004672897194,13418.682301511513,2.369829958901462
167,2018-08-23,Tivoli Gardens,40414,2018,8,Thursday,22760.57476635514,7124.5909205696535,2.4778159799571147
168,2018-08-24,PortAventura World,53529,2018,8,Friday,45461.004672897194,13418.682301511513,0.6012509384914797
169,2018-08-24,Tivoli Gardens,27742,2018,8,Friday,22760.57476635514,7124.5909205696535,0.6991875448263021
170,2018-08-25,PortAventura World,55503,2018,8,Saturday,45461.004672897194,13418.682301511513,0.748359272651656
171,2018-08-25,Tivoli Gardens,27469,2018,8,Saturday,22760.57476635514,7124.5909205696535,0.6608695553383986
172,2018-08-26,PortAventura World,54330,2018,8,Sunday,45461.004672897194,13418.682301511513,0.6609438339637701
173,2018-08-26,Tivoli Gardens,30153,2018,8,Sunday,22760.57476635514,7124.5909205696535,1.0375929391681888
174,2018-08-27,PortAventura World,58609,2018,8,Monday,45461.004672897194,13418.682301511513,0.9798276039087522
175,2018-08-27,Tivoli Gardens,27201,2018,8,Monday,22760.57476635514,7124.5909205696535,0.6232533605297609
176,2018-08-28,PortAventura World,69559,2018,8,Tuesday,45461.004672897194,13418.682301511513,1.795854077593621
177,2018-08-28,Tivoli Gardens,31576,2018,8,Tuesday,22760.57476635514,7124.5909205696535,1.2373237048871872
178,2018-08-29,PortAventura World,43659,2018,8,Wednesday,45461.004672897194,13418.682301511513,-0.13429073230940206
179,2018-08-29,Tivoli Gardens,23412,2018,8,Wednesday,22760.57476635514,7124.5909205696535,0.09143335258226638
180,2018-08-30,PortAventura World,61159,2018,8,Thursday,45461.004672897194,13418.682301511513,1.1698611662737217
181,2018-08-30,Tivoli Gardens,30287,2018,8,Thursday,22760.57476635514,7124.5909205696535,1.0564010365725078
182,2018-08-31,PortAventura World,54800,2018,8,Friday,45461.004672897194,13418.682301511513,0.6959696278114311
183,2018-08-31,Tivoli Gardens,26951,2018,8,Friday,22760.57476635514,7124.5909205696535,0.5881636265664794
184,2018-09-01,PortAventura World,57367,2018,9,Saturday,45461.004672897194,13418.682301511513,0.887270080592167
185,2018-09-01,Tivoli Gardens,30008,2018,9,Saturday,22760.57476635514,7124.5909205696535,1.0172408934694857
186,2018-09-02,PortAventura World,39488,2018,9,Sunday,45461.004672897194,13418.682301511513,-0.44512602196598544
187,2018-09-02,Tivoli Gardens,23627,2018,9,Sunday,22760.57476635514,7124.5909205696535,0.12161052379068847
188,2018-09-03,PortAventura World,39006,2018,9,Monday,45461.004672897194,13418.682301511513,-0.4810460914012463
189,2018-09-03,Tivoli Gardens,14719,2018,9,Monday,22760.57476635514,7124.5909205696535,-1.128706876788958
190,2018-09-04,PortAventura World,39373,2018,9,Tuesday,45461.004672897194,13418.682301511513,-0.4536961630138174
191,2018-09-04,Tivoli Gardens,18247,2018,9,Tuesday,22760.57476635514,7124.5909205696535,-0.6335205510991295
192,2018-09-05,PortAventura World,39887,2018,9,Wednesday,45461.004672897194,13418.682301511513,-0.4153913586782902
193,2018-09-05,Tivoli Gardens,19544,2018,9,Wednesday,22760.57476635514,7124.5909205696535,-0.451475011297625
194,2018-09-06,PortAventura World,39810,2018,9,Thursday,45461.004672897194,13418.682301511513,-0.421129627032056
195,2018-09-06,Tivoli Gardens,20105,2018,9,Thursday,22760.57476635514,7124.5909205696535,-0.37273364828402133
196,2018-09-07,PortAventura World,38951,2018,9,Friday,45461.004672897194,13418.682301511513,-0.485144854511079
197,2018-09-07,Tivoli Gardens,21130,2018,9,Friday,22760.57476635514,7124.5909205696535,-0.22886573903456717
198,2018-09-08,PortAventura World,58206,2018,9,Saturday,45461.004672897194,13418.682301511513,0.9497948487585237
199,2018-09-08,Tivoli Gardens,30496,2018,9,Saturday,22760.57476635514,7124.5909205696535,1.085736054165811
200,2018-09-09,PortAventura World,42245,2018,9,Sunday,45461.004672897194,13418.682301511513,-0.23966620571491845
201,2018-09-09,Tivoli Gardens,26340,2018,9,Sunday,22760.57476635514,7124.5909205696535,0.5024043167602193
202,2018-09-10,PortAventura World,34200,2018,9,Monday,45461.004672897194,13418.682301511513,-0.8392034642349887
203,2018-09-10,Tivoli Gardens,14236,2018,9,Monday,22760.57476635514,7124.5909205696535,-1.1965002428060179
204,2018-09-11,PortAventura World,33832,2018,9,Tuesday,45461.004672897194,13418.682301511513,-0.866627915588051
205,2018-09-11,Tivoli Gardens,15945,2018,9,Tuesday,22760.57476635514,7124.5909205696535,-0.9566268214330256
206,2018-09-12,PortAventura World,33776,2018,9,Wednesday,45461.004672897194,13418.682301511513,-0.870801201663517
207,2018-09-12,Tivoli Gardens,16391,2018,9,Wednesday,22760.57476635514,7124.5909205696535,-0.8940267360425314
208,2018-09-13,PortAventura World,26274,2018,9,Thursday,45461.004672897194,13418.682301511513,-1.4298724898446937
209,2018-09-13,Tivoli Gardens,14288,2018,9,Thursday,22760.57476635514,7124.5909205696535,-1.1892015781416554
210,2018-09-14,PortAventura World,28164,2018,9,Friday,45461.004672897194,13418.682301511513,-1.2890240847977164
211,2018-09-14,Tivoli Gardens,14412,2018,9,Friday,22760.57476635514,7124.5909205696535,-1.1717970700958678
212,2018-09-15,PortAventura World,65538,2018,9,Saturday,45461.004672897194,13418.682301511513,1.4961972327820359
213,2018-09-15,Tivoli Gardens,42149,2018,9,Saturday,22760.57476635514,7124.5909205696535,2.7213387336622885
214,2018-09-16,PortAventura World,38398,2018,9,Sunday,45461.004672897194,13418.682301511513,-0.5263560545063057
215,2018-09-16,Tivoli Gardens,26011,2018,9,Sunday,22760.57476635514,7124.5909205696535,0.4562262268645409
216,2018-09-17,PortAventura World,23472,2018,9,Monday,45461.004672897194,13418.682301511513,-1.6386858395492603
217,2018-09-17,Tivoli Gardens,10568,2018,9,Monday,22760.57476635514,7124.5909205696535,-1.711336819515284
218,2018-09-18,PortAventura World,23130,2018,9,Tuesday,45461.004672897194,13418.682301511513,-1.664172693795856
219,2018-09-18,Tivoli Gardens,11305,2018,9,Tuesday,22760.57476635514,7124.5909205696535,-1.6078922837915302
220,2018-09-19,PortAventura World,25394,2018,9,Wednesday,45461.004672897194,13418.682301511513,-1.4954526996020165
221,2018-09-19,Tivoli Gardens,12196,2018,9,Wednesday,22760.57476635514,7124.5909205696535,-1.482832471946395
222,2018-09-20,PortAventura World,25841,2018,9,Thursday,45461.004672897194,13418.682301511513,-1.462140933963922
223,2018-09-20,Tivoli Gardens,12067,2018,9,Thursday,22760.57476635514,7124.5909205696535,-1.5009387746714482
224,2018-09-21,PortAventura World,23372,2018,9,Friday,45461.004672897194,13418.682301511513,-1.6461381361125924
225,2018-09-21,Tivoli Gardens,11050,2018,9,Friday,22760.57476635514,7124.5909205696535,-1.6436838124340774
226,2018-09-22,PortAventura World,57207,2018,9,Saturday,45461.004672897194,13418.682301511513,0.8753464060908357
227,2018-09-22,Tivoli Gardens,35421,2018,9,Saturday,22760.57476635514,7124.5909205696535,1.7770038132424566
228,2018-09-23,PortAventura World,30642,2018,9,Sunday,45461.004672897194,13418.682301511513,-1.1043561759583462
229,2018-09-23,Tivoli Gardens,21330,2018,9,Sunday,22760.57476635514,7124.5909205696535,-0.20079395186394197
230,2018-09-24,PortAventura World,26803,2018,9,Monday,45461.004672897194,13418.682301511513,-1.3904498410246668
231,2018-09-24,Tivoli Gardens,11161,2018,9,Monday,22760.57476635514,7124.5909205696535,-1.6281039705543805
232,2018-09-25,PortAventura World,23003,2018,9,Tuesday,45461.004672897194,13418.682301511513,-1.673637110431288
233,2018-09-25,Tivoli Gardens,11433,2018,9,Tuesday,22760.57476635514,7124.5909205696535,-1.58992634000233
234,2018-09-26,PortAventura World,26494,2018,9,Wednesday,45461.004672897194,13418.682301511513,-1.4134774374053631
235,2018-09-26,Tivoli Gardens,12719,2018,9,Wednesday,22760.57476635514,7124.5909205696535,-1.40942474849521
236,2018-09-27,PortAventura World,33657,2018,9,Thursday,45461.004672897194,13418.682301511513,-0.8796694345738822
237,2018-09-27,Tivoli Gardens,15304,2018,9,Thursday,22760.57476635514,7124.5909205696535,-1.0465968993148793
238,2018-09-28,PortAventura World,30020,2018,9,Friday,45461.004672897194,13418.682301511513,-1.150709460582272
239,2018-09-28,Tivoli Gardens,19714,2018,9,Friday,22760.57476635514,7124.5909205696535,-0.4276139922025936
240,2018-09-29,PortAventura World,51281,2018,9,Saturday,45461.004672897194,13418.682301511513,0.4337233117477733
241,2018-09-29,Tivoli Gardens,28300,2018,9,Saturday,22760.57476635514,7124.5909205696535,0.7775078310323463
242,2018-09-30,PortAventura World,35059,2018,9,Sunday,45461.004672897194,13418.682301511513,-0.7751882367559657
243,2018-09-30,Tivoli Gardens,25105,2018,9,Sunday,22760.57476635514,7124.5909205696535,0.3290610309816087
244,2018-10-01,PortAventura World,25133,2018,10,Monday,45461.004672897194,13418.682301511513,-1.5149031936323134
245,2018-10-01,Tivoli Gardens,8172,2018,10,Monday,22760.57476635514,7124.5909205696535,-2.047636829819374
