"Timestamp","I consent and am aware that my responses in this survey will be collected for data analysis","What is your age?","What is your gender","When was your last theme park visit? (MM/YYYY)","Were there any special occasions that prompted the visit? (etc Christmas, school holidays, weekends)","If you answered yes for above, which special occasion was it?","Which period of the year do you normally visit the theme park? ","Which period of the day do you normally visit the theme park? (Opening time, early afternoon, late afternoon, evening)","Which theme parks have you visited?","If you answered ""Others"", please state the theme park","How frequently do you visit theme parks?","What are your considerations when planning your theme park visits?","Which attractions or rides do you plan to visit when you go visit a theme park? Pick up to 2-3","If you stated others, please state the attraction","Which attractions or rides do you end up visiting? Pick up to 2-3","If you stated others, please state the attraction","How was the WiFi quality in the theme park?","What are some pain points you have experienced?","If you answered ""Others"", please state the pain points","What do you hope can be implemented to overcome said challenges?"
"2025/03/06 3:45:58 PM GMT+8","Consent","23","Female","05/24","No","","Oct to Dec","Opening Time","Universal Studios;Disney;Ocean Park","","1 to 2 times a year","Crowds and weather","Roller Coasters;Ferris Wheels;Bumper Cars;Immersive Experiences;Haunted Houses;Pendulum rides (eg. Viking ride)","","Roller Coasters;Immersive Experiences;Pendulum rides (eg. Viking ride)","","Weak","Long waiting times;Poor crowd management;Poor reception","","Possible routes to take in the theme park for better crowd management"
"2025/03/06 3:55:14 PM GMT+8","Consent","22","Female","10/2024","Yes","Halloween ","Apr to Jun;Oct to Dec","Opening Time","Universal Studios;LegoLand","","Once every 3 years","The excitement/adventurous levels of the rides and the price of the admission tickets.","Roller Coasters;Ferris Wheels;Immersive Experiences;Dark rides;Haunted Houses;Drop Towers;Pendulum rides (eg. Viking ride)","","Roller Coasters;Immersive Experiences;Dark rides;Haunted Houses;Drop Towers;Pendulum rides (eg. Viking ride)","","Decent","Long waiting times;Lack of real time information about waiting times","","Increase participants!"
"2025/03/06 4:52:39 PM GMT+8","Consent","33","Female","12/2019","Yes","","Oct to Dec","Early Afternoon","LegoLand","","Less than once every 5 years","Weather","Ferris Wheels;Bumper Cars;Pendulum rides (eg. Viking ride);Eateries","","Ferris Wheels;Bumper Cars;Immersive Experiences;Carousels;Pendulum rides (eg. Viking ride);Eateries","","Unsure","Long waiting times;Difficulty navigating the park;Poor crowd management;Lack of real time information about waiting times","","Application that indicate all, best will be involved all themeparks  around the world."
"2025/03/06 4:54:40 PM GMT+8","Consent","22","Female","05/2024","Yes","Overseas trip during school holidays","Oct to Dec","Early Afternoon","Universal Studios;Disney","","Less than once every 5 years","Whether the rides are popular and whether the waiting times for the rides will be long","Roller Coasters;Immersive Experiences;Dark rides","","Roller Coasters;Immersive Experiences;Eateries","","Decent","Long waiting times;Poor reception","","More seating areas while waiting, or long walkways so it gives the perception that the queue is moving (i.e. passengers are constantly moving instead of standing stationary at one spot)"
"2025/03/06 5:21:10 PM GMT+8","Consent","22","Male","10/2024","Yes","halloween","Oct to Dec","Evening","Universal Studios;Disney","","Once every 2 years","","Roller Coasters;Immersive Experiences;Eateries","","Roller Coasters;Immersive Experiences;Eateries","","Unsure","Long waiting times;Difficulty navigating the park;Poor crowd management;Lack of real time information about waiting times","","Increased ride frequency "
"2025/03/06 5:31:10 PM GMT+8","Consent","23","Male","06/2022","Yes","Parents company event, so there was a free pass","Apr to Jun;Oct to Dec","Opening Time","Universal Studios;Disney;LegoLand","","Once every 3 years","The price, the location of the park, any special or limited time events happening at the park, are there any famous rides at the park and if I can find a time to go with friends or family","Bumper Cars;Immersive Experiences;Pendulum rides (eg. Viking ride)","","Roller Coasters;Immersive Experiences;Pendulum rides (eg. Viking ride)","","Unsure","Long waiting times;Difficulty navigating the park;Lack of real time information about waiting times;Poor reception","","Some sort of park wide waiting time display so you can know what to do at what times, and also better reception to account for the large crowds (sometimes data falls back to like 3g cos of so many people in a small space)"
"2025/03/06 5:43:22 PM GMT+8","Consent","23","Female","01/2026","Yes","School Holiday","Apr to Jun;Oct to Dec","Opening Time","Universal Studios;Disney;LegoLand;Ocean Park;Others","China huan le gu, DisneySea Tokyo, Seoul Grand Park, Everland, FujiQ, Genting ","1 to 2 times a year","wear pants, bring poncho for water rides","Roller Coasters;Carousels;Pendulum rides (eg. Viking ride)","","Roller Coasters;Carousels;Pendulum rides (eg. Viking ride)","","Decent","Long waiting times;Poor reception","","with better reception, maybe the waiting time would be updated more accurately"
"2025/03/06 6:15:06 PM GMT+8","Consent","24","Male","10/2024","No","","Oct to Dec","Opening Time","Universal Studios;Disney;Others","Canada’s Wonderland","Once every 2 years","","Roller Coasters;Immersive Experiences;Dark rides;Haunted Houses;Pendulum rides (eg. Viking ride)","","Roller Coasters;Pendulum rides (eg. Viking ride)","","Weak","Long waiting times;Poor crowd management","","Shorter queues"
"2025/03/06 6:23:43 PM GMT+8","Consent","24","Female","06/2023","Yes","vacation","Jan to Mar;Apr to Jun;Jul to Sept;Oct to Dec","Opening Time","Universal Studios;Disney;LegoLand;Ocean Park;Others","tivoli gardens","Once every 2 years","vacations","Roller Coasters;Immersive Experiences;Drop Towers","","Roller Coasters;Immersive Experiences;Drop Towers","","Unsure","Long waiting times","","limited tickets"
"2025/03/06 6:57:19 PM GMT+8","Consent","25","Male","02/2022","Yes","date idea","Jan to Mar;Apr to Jun;Jul to Sept;Oct to Dec","Opening Time","Universal Studios;LegoLand","","Once every 3 years","Not raining, not holiday season","Roller Coasters;Immersive Experiences;Dark rides;Drop Towers;Pendulum rides (eg. Viking ride)","","Roller Coasters;Immersive Experiences;Dark rides","","Unsure","Long waiting times;Lack of real time information about waiting times;Poor reception","","provide wifi"
"2025/03/06 7:18:59 PM GMT+8","Consent","54","Male","11/06/2016","Yes","School Holiday","Apr to Jun","Opening Time","Universal Studios;LegoLand","","Less than once every 5 years","Good Weather & less crowd","Roller Coasters;Bumper Cars","","Roller Coasters;Bumper Cars","","Unsure","Long waiting times;Lack of real time information about waiting times","","Advance booking system for rides to minimize or eliminate the waiting time"
"2025/03/06 7:49:46 PM GMT+8","Consent","27","Female","12/2023","No","","Oct to Dec","Early Afternoon","Universal Studios;Others","Sunway Lagoon","Once every 3 years","Thrill factors of rides, safety, general crowd size, age of friends joining","Roller Coasters;Bumper Cars;Immersive Experiences;Dark rides;Pendulum rides (eg. Viking ride)","","Roller Coasters;Bumper Cars;Pendulum rides (eg. Viking ride)","","Weak","Long waiting times;Difficulty navigating the park;Poor reception","","Limit to number of people entering the themepark at certain times, better reception"
"2025/03/06 7:59:14 PM GMT+8","Consent","23","Female","01/2024","Yes","uni holiday overseas trip","Jan to Mar","Early Afternoon","Universal Studios;Disney;LegoLand","","1 to 2 times a year","","Roller Coasters;Drop Towers;Pendulum rides (eg. Viking ride)","","Roller Coasters;Drop Towers;Pendulum rides (eg. Viking ride)","","Unsure","Long waiting times","","seatings during wait times or time slots for certain groups to go at certain times to minimise wait time"
"2025/03/06 8:33:01 PM GMT+8","Consent","23","Male","08/2024","No","","Jan to Mar","Opening Time","Universal Studios;LegoLand","","Once every 5 years","I don't really visit theme parks at all. Unless my friends really want to. Bcos I don't enjoy it, my two top considerations are: i) Cost; ii) Whether my friend/s want it.","Ferris Wheels;Bumper Cars;Immersive Experiences","","Others","Luge","Unsure","Others","NIL; waiting time was actually not very long","NIL"
"2025/03/06 9:11:46 PM GMT+8","Consent","25","Female","09/2015","Yes","school holidays","Oct to Dec","Early Afternoon","Universal Studios;Disney;LegoLand;Ocean Park","","Less than once every 5 years","crowd - i hate it","Roller Coasters;Drop Towers;Pendulum rides (eg. Viking ride)","","Roller Coasters;Immersive Experiences;Dark rides;Drop Towers;Pendulum rides (eg. Viking ride);Eateries","","Unsure","Long waiting times;Lack of real time information about waiting times","","more online queues, maybe navigation within gmaps or their own app"
"2025/03/06 9:34:32 PM GMT+8","Consent","24","Male","01/2024","Yes","Holiday overseas","Jan to Mar","Opening Time","Universal Studios","","1 to 2 times a year","To visit as many rides as possible","Roller Coasters;Immersive Experiences;Drop Towers","","Roller Coasters;Immersive Experiences;Pendulum rides (eg. Viking ride)","","Decent","Long waiting times;Poor crowd management;Lack of real time information about waiting times","","Maybe an online booking system so people can be at the area when it is their turn instead of just waiting in the queue for a few hours just for 3 mins of fun"
"2025/03/06 10:00:25 PM GMT+8","Consent","23","Female","09/2023","No","","Apr to Jun;Jul to Sept","Opening Time","Universal Studios;Disney;Ocean Park","","Once every 2 years","","Roller Coasters;Ferris Wheels;Immersive Experiences;Eateries","","Roller Coasters;Immersive Experiences;Eateries","","No wifi available","Long waiting times;Difficulty navigating the park;Poor crowd management;Lack of real time information about waiting times","","App with the map of the park and real life wait times"
"2025/03/07 2:55:25 AM GMT+8","Consent","22","Male","12/2018","Yes","School Holidays","Oct to Dec","Early Afternoon","Disney;LegoLand;Ocean Park","","Less than once every 5 years","I would prefer to avoid them entirely if possible since I don’t enjoy going on rides, but I will go if my family wants to. My considerations would be avoiding any sort of ride that looks scary.","Ferris Wheels;Bumper Cars;Immersive Experiences;Haunted Houses;Eateries","","Ferris Wheels;Bumper Cars;Immersive Experiences;Haunted Houses;Eateries","","Unsure","Long waiting times;Difficulty navigating the park;Lack of real time information about waiting times","","Perhaps a website that can give real time information on queue lengths or time would be useful to plan ahead (like the website that tracks traffic on the Causeway)."
"2025/03/07 6:18:11 PM GMT+8","Consent","21","Female","01/2025","No","","Oct to Dec","Opening Time","Universal Studios;Disney;Ocean Park;Others","Lotte World, E-Da","1 to 2 times a year","Weather, time, with whom. ","Roller Coasters;Haunted Houses;Pendulum rides (eg. Viking ride)","all","Roller Coasters;Dark rides;Haunted Houses;Carousels;Drop Towers;Pendulum rides (eg. Viking ride)","","Unsure","Long waiting times;Lack of real time information about waiting times","","? lesser people"
"2025/03/09 1:52:01 PM GMT+8","Consent","21","Female","June 2023","Yes","School holiday","Apr to Jun;Oct to Dec","Opening Time","Universal Studios;Disney;LegoLand","","Once every 4 years","The price and whether there is a special event","Roller Coasters;Immersive Experiences;Dark rides;Haunted Houses;Pendulum rides (eg. Viking ride);Eateries","","Roller Coasters;Dark rides","","Decent","Long waiting times;Difficulty navigating the park;Lack of real time information about waiting times","","An app that will let me know the waiting times at a glance and the ability to queue while eating "
"2025/03/11 5:50:43 PM GMT+8","Consent","23","Female","10/2024","Yes","Halloween","Jan to Mar;Apr to Jun;Jul to Sept;Oct to Dec","Opening Time","Universal Studios;Disney;Six Flags;Ocean Park","","Once every 2 years","","Immersive Experiences;Carousels;Pendulum rides (eg. Viking ride)","","Immersive Experiences;Carousels;Pendulum rides (eg. Viking ride)","","Unsure","Long waiting times;Difficulty navigating the park;Poor crowd management;Lack of real time information about waiting times","","Not sure "
"2025/03/11 5:59:06 PM GMT+8","Consent","21","Female","10/2024","Yes","Halloween","Oct to Dec","Evening","Universal Studios;Disney;LegoLand","","1 to 2 times a year","Time Cost People","Bumper Cars;Immersive Experiences;Haunted Houses","","Roller Coasters;Bumper Cars;Haunted Houses","","Unsure","Long waiting times;Poor reception","","set a max cap maybe "
"2025/03/11 6:00:02 PM GMT+8","Consent","24","Male","12/2024","Yes","Christmas","Oct to Dec","Opening Time","Universal Studios;Disney","","Once every 2 years","Special Occasions like Christmas or Halloween. Any special deals with ticket prices. Any friends/people visiting that I can go with? Any new rides?","Roller Coasters;Ferris Wheels;Immersive Experiences;Carousels;Drop Towers;Pendulum rides (eg. Viking ride);Eateries","","Ferris Wheels;Immersive Experiences;Pendulum rides (eg. Viking ride)","","Unsure","Long waiting times;Difficulty navigating the park;Lack of real time information about waiting times","","A proper platform or application to inform riders on wait times, and to show a map."
