Review_ID,Rating,Year_Month,Location,Review_Text,Branch
379889384,5,2015-07-01,United States,"As with all things Disney in CA and Florida, Disneyland is just a fun, first class and varied amusement park.   Great for couples and families and groups of friends and Disney makes everything and everyone feel great!",Disneyland_California
195872800,5,2014-02-01,United Kingdom,"Visited Disneyland Paris in February 2014 with my 4 year old son and had a wonderful two days in the parks. We went over the school holidays so expected it to be a bit busy. The park is very clean and well presented and the staff were happy, friendly and willing to help. Could have done with a third day.(we know for next time)  Food and drink are expensive in the parks as expected.",Disneyland_Paris
156496430,3,2013-03-01,United Kingdom,"This was our 4th visit to Euro Disney and although we had a fantastic break it was definitely not what it used to be in that;People were smoking all over the park including while waiting in queues.Many rides with the same carriages were broken day after day causing longer queues than necessary.No ghosts on the back of the Haunted House Ride?Both times Screen Studio Tram Tours the commentary screens were not working.Music was not always working on the Aero Smith Roller Coaster. Pirates water ride and Crush ride both broke down while we were at the park.Very limited number of rides operating during the parks early opening hours.Lots of restaurants and food stalls were not open for the duration of our visit, therefore massive queues at the ones that were.Captain EO   awful   not a patch on the fantastic 'Honey I shrunk the kids' previously showing.Food unbelievably expensive.",Disneyland_Paris
111698723,5,2010-07-01,India,Difficult to cover both park in one day.Best to cover one part in one day and take combo passIt suitable for kids and family and one of best in california for family.Timing from Monring 6 to evenig 8pm and best time to trave in weekdays to avoid rush,Disneyland_California
271807920,5,2015-03-01,United States,This trip was special because my husband and I were celebrating my admittance to graduate school. The park was immaculate per usual. The wait times were not bad and we were even able to get a reservation at Blue Bayou. All the cast members we interacted with were wonderful. I can't wait to go back!,Disneyland_California
391603753,2,2016-06-01,Germany,It was my second time to Disneyland after having been there as a kid approximately 20 years ago. I went there with two friends and was really looking forward to relive the experience. But when we arrived there we realized that approx. 80% of the roller coaster rides were closed (only one roller coaster in the park opened). There was no transparent communication to this extensive maintenance work. On the map you could see that the attractions marked with a tiny Mickey Mouse head were due to maintenance at some point in time but you had to walk the whole way to see if they were closed today or not. Additionally it was end of June   so you didn't expect such a high proportion of attractions to be closed in the mid of summer!It is also valuable to mention that throughout the whole park there is a ban on selfie sticks  for security reasons  and the value for money in the restaurants is really poor.From my point of view it is a nice experience for children. For adults there are better parks in Europe.,Disneyland_Paris
240165727,5,2014-09-01,Canada,We had a wonderful time. Disneyland is truly the happiest place on earth. The shows were excellent. The staff are friendly and helpful.,Disneyland_California
261174469,5,2015-03-01,Australia,While this is our first Disney experience it was a good one to start with. My 8year old granddaughter was able to navigate her way around the park and go from ride to ride and world to world a few times throughout the day. She was also able to ride by herself when I did not want to go for for the 5th time in a row. We loved the the magic of the street parade as a fitting climax to a great day out.,Disneyland_HongKong
190463633,4,2014-01-01,United States,"It's been many years since we were there. It was much more crowded than I thought   but once we got the hang of fast pass, it worked well. It was the first time we ever visited when the park was in holiday theme. Disappointed by the Haunted Mansion holiday makeover but appreciated some of the new touches in Pirates (Captain Jack Sparrow made us appreciate how the animatronics has improved over the years.) ",Disneyland_California
82508536,3,,Australia,"It's one of those places I felt the need to visit just once in my lifetime. I did feel disappointed however. The price to get in for our family of 4 (for a 2 day hopper pass) was nearly $600. I did not feel the place justified such a high entry fee especially since there were still so many things you had to pay for once inside.Kids (8 & 10) were over it by the first day. We had to force them to come back for day 2 and we ended up leaving after just 4hrs, due to everyone being tired of walking and waiting in long queues. I heard other kids complaining to their parents and wanting to go back to their hotels.For a place that is supposed to be the happiest place on earth, there sure were a lot of miserable looking parents and kids walking around.The food available for purchase inside is another story   I wouldn't feed that kind of food to my dog! So unhealthy and disgusting. Don't eat at Pizza Port   ended up throwing it away.",Disneyland_California
191267562,5,2013-08-01,United States,"Disneyland will always bring out the inner child within me. Every visit I make, it's like going for the first time; it's always something fun and exciting, as well as something new happens everytime I go. A trip to Disneyland is not complete without riding Indiana Jones, Big Thunder Mountain Railroad, Space Mountain, and Splash Mountain; all other attractions are enjoyable, but the ones I've mentioned are my favorites. I tend to avoid Disneyland at peak times such as Spring and Summer breaks, ESPECIALLY during the holidays as it tends to get extremely crowded; crowded places means aggravating crowds. It's fun taking pictures with the characters, hitting the rides at Fantasyland, and I'd tend to ride It's a Small World when it's re decorated for the holidays more than once! Fantasmic! and the fireworks are a must see! I'd keep going there, and I doubt I'll ever get bored.",Disneyland_California
250313963,3,2015-01-01,United States,"Being from the US, it is easy to have in your mind, how all Disneylands are supposed to be. Well, drop the bar because the HK Disney is much smaller and therefore missing the key attractions we are used to. But the biggest thing missing is the food. Don't come here expecting to eat US food anywhere. Even the popcorn is different   honey mustard flavored. The chocolate dipped banana is packaged in bite sized pieces. I will say the mango Dole whip was the highlight. We ate on Main Street at the Coca Cola branded restaurant and it was meh. Nothing Coca Cola at all but the location was right for the night time light parade. We had a little extra show as there was a HKer yelling at a Mainland tourist for what appeared to be a cutting in line.Kids loved the Thunder Mountain like ride because there was a twist when the ride went backwards. Loved shopping in the Main Street store. The mugs are really cute and a few of the shirts were nice. Most of the shirts are garrish; very loud and overly detailed. Yuck.The train is cute with Mickey shaped windows and handlebars. There is a display in each train which has an enclosure with a bronze like character inside.Would I go again? Nope. Check on the bucket list. We got lucky on the timing. Went on a Friday early afternoon and stayed until closing at 830. Let the crowd go ahead otherwise you are backed up on the train landing.",Disneyland_HongKong
153574756,4,2013-02-01,United Kingdom,"Had a great visit with our 2 year old son. With him being into everything Disney he really enjoyed it. On every full day we were there we made sure we were in the park for 8 to take advantage of the 2 hours without members of the public. This made the queuing alot less painful. Unfortunately one of mornings we went in early 3 of the rides that were open(not all the rides open before 10) were broken leaving you little to choose from but overall its worth going in early to avoid the queues. Some rides were closed for our entirety of our stay which was quite frustrating as if the queuing gets too frustrating for a 2 year old all your really left with is a glorified shopping centre with quite a few restaurants chucked in. On the plus sides, even though the park was busy it never felt over run with people. The staff were on the whole happy and willing to help. The parades were really good and the lights and fireworks at the end of the day were brilliant. The Buzz Lightyear Ride was one of my sons favorites, whilst my wife liked the Peter Pan ride and Its Small World Ride (Beware the theme songs sticks in your head forever . The restaurants were really good and the food was really tasty & the shops, all though all very similar were not in my mind particulary overpriced as you wouldn`t expect them to be cheap. Overall, a great experience but possibly only if you don`t mind queuing.",Disneyland_Paris
157272437,4,2013-04-01,Indonesia,"I had been to the Disneyland Parks in California and Florida, so this one in Hong Kong had an air of  not in the right place  feels to it. This park definitely is much smaller than the ones in Annaheim and Orlando, and the number of rides are also limited. But true to Disneyland tradition, the Main Street is alive and busy with music, shops, snacks and cafes. It is a nice way to spend an afternoon in the open air, after days spent inside shopping malls!",Disneyland_HongKong
246686529,4,2014-08-01,United States,"Disneyland is a must go, at least once in your lifetime. This is the happiest place on earth, being an adult I still get a bit giddy when I get my picture taken with Mickey! The kids will ABSOLUTELY Love it...even your angsty teenager! The experience is worth the wait!",Disneyland_California
292783245,5,2015-07-01,United States,"If you have not been to Disneyland yet for the Diamond Celebration, you must go. The Paint the Night parade blew my mind with the extravagant floats and the bright colors that illuminate the entire park. The fireworks were the best that I have ever seen at Disneyland  I loved the movie clips and the corresponding fireworks. Not too be missed!!",Disneyland_California
122993372,4,2011-02-01,Indonesia,"I've been to Hong Kong Disneyland 3 times, all with my tour group. The last one was in September 2010. We spent a full day there while also stayed a night at the Disney Hollywood Hotel. This one Disneyland is probably the smallest among the other Disney parks around the world; you can enjoy all attractions just in one day. The cast members speak Mandarin and English, very nice. Best time to visit it is probably around Halloween, because beside having 2 parades, the temperature is nice too. I had lunch at the Royal Banquet Hall (ramen and teriyaki chicken wings), it was good and worth the money.",Disneyland_HongKong
295783819,4,2015-07-01,United Kingdom,Its Disney and its fantastic.   Have to say food and shops are very expensive and having paid a lot to go there the extras do add up and its only the children who miss out.,Disneyland_Paris
325766317,5,2015-11-01,United States,Park fills up about 11am. Becomes more empty after 9pm. Indiana Jones one of the few that is worth the wait. Bobsled coaster not so much.,Disneyland_California
368610237,5,2016-04-01,United States,Disneys magic is alive and well.  The Paint the Night parade a must see and of course the fireworks.  During the week lines are shorter.  Well worth it.,Disneyland_California
330527464,5,2015-12-01,United Kingdom,"I would like to say how safe I felt at Disney this last few days. After recent events I had my concerns but this was unfounded. There were armed soldiers at the entrance to the train station. The screening system that was in place consisted of all bags being scanned , people being searched and full body scans. Any hint of uncertainty and rides were closed down ( haunted mansion had a bag left ,closed down within minutes and fully checked) . We stayed at the Santa Fe and increased security was evident there as well. So well done Disney.",Disneyland_Paris
129268119,5,2012-03-01,Australia,"What an amazing place, we loved it! Is a great park for both kids and adults, so much to see and do.  Make sure you give yourself 3 or 4 days to visit as you will need it to really experience everything without being rushed.",Disneyland_California
271764843,5,2015-04-01,United Kingdom,We went to Disneyland Paris from Good Friday to Easter Monday with our two boys (3 and 6). We all had a brilliant time. The rides were excellent with fairly good wait times. It helped that we stayed in a Disney hotel and so had early access to the park. There was plenty to keep the whole family entertained. We particularly enjoyed the parade. We would definitely go back again.,Disneyland_Paris
154428410,4,2013-03-01,United States,Everyone tries to compare disneyland to disney world well....you can't! But that's ok. Disneyland is special for its history. The lands have unique experiences and rides that are different. We really enjoyed the French quarter. I just live disney and the California and venture park was just as cool. I love that its condense and you don't have to take a bus or monorail every where to enjoy yourself. The experience was magical and well worth the time to compare. You just can't go wrong in disney!,Disneyland_California
526000751,3,2017-09-01,United States,"Overall, I enjoyed my first visit to Disneyland. Luckily, I didn't have any children to bring (adults now) and would have dreaded bringing them due to the hordes of people children walking around, not to mention the awful wait times for children exhibits rides. I was surprised overwhelmed at the amount of souvenir shops. Every other building seemed to be for shopping. The themes throughout the park were fun to experience, but need to have more rides exhibits that enlighten one's knowledge of that theme. Overall, go have fun despite the looooong lines, the hordes of parents kids with strollers banging into your shins, and bring your credit card. Enjoy the parade, the exhibits, and the overall experience.",Disneyland_California
569545065,5,2018-03-01,United States,They have 2 parks if you can it   s better buy the tickets for both parks one is similar to Hollywood Studios in Orlando and the Other one its similar to Magic Kingdom. Both are magical and amazing,Disneyland_Paris
184212128,5,2013-11-01,United Kingdom,"We took our little girl who has disabilities for our first family holiday here. The staff , facilities and rides were amazing! Nothing was too much for them. The green card they gave us allowed us quicker entry and easier access to rides etc. The staff called out daughter by her name and always smiled and made a fuss! Two or three rides and restaurants don't allow push chairs but we could for our girl and wasn't a problem. The allocated areas for the parade and fireworks really helped also! I would especially like to thank Rupanzle, she spent ages with our little girl and later that day spotted here out during the parade and pointed to her and shouted  it's you!  And blow a kiss. Made my girl so happy and me and my wife nearly cry! Thank u!!!!! Can't wait to return!!! ",Disneyland_Paris
147272137,5,2012-12-01,Malaysia,"Get a 2 day pass, its well worth it as you can explore the park at a more leisurely pace. Very clean toilets and many eateries with a variety of food. Queueing time for the rides were 40 mins max and managed excellently.The LION KING show was AWESOME , we went twice for this. Dont miss it! Stitch Adventure was good too. Flights of fantasy parade was feast to the eyes!However was pretty disappointed that the Sleeping beauty castle was not lit up as magiacally as expected   looked more like a haunted castle by night ! And the fireworks are nothing to shout about.",Disneyland_HongKong
579457493,1,2018-05-01,United States,"If you enjoy the TSA screening process at airports, you'll love your visit. In fact, some items the TSA has no problems with won't pass Disney tests. Case in point. A rolled up 3 legged stool about 10 inches long (see pictures). Refused entry. Strollers the size of small cars   no problem. Seurity wouldn't allow storage in a locker, leaving the item outside the screening area, or even outside the front gate clear out by the street. Required me to personally remove the item from Disney property even after I told them to throw it away. Most Disney employees seem to go out of their way to make the guest experience great, but some of the security staff are unbelievably obnoxious and rude.",Disneyland_California
340664992,3,2015-12-01,Greece,"We visited at Christmastime 2015, was very crowded and 3 attractions broke down in the two days when we visited and almost all the attractions of the Wild West was closed. We had to queue for 45 minutes to 1 hour to each attraction. Considering the amount of money you pay as a family of 4 and although all in all the kids had a good time (but very very tiring with all the crowd) I don't think we will ever visit again.",Disneyland_Paris
257739559,5,2015-01-01,United States,"Disneyland is a time for my daughter and I to spend quality time together. We have annual passes and go as often as we can when she's in town. Whenever we go, we always try a different place to eat. It's a great place to get some exercising while doing lots of walking.",Disneyland_California
282292543,4,2014-07-01,United Kingdom,"Went here a while ago and forgot to put my review. I loved Disney Land.. the parades were amazing, good rides, good things to do throughout the day, get to have signatures off the characters which was cool:) Only negative is that the french are very rude (they push you out the way to get in front)",Disneyland_Paris
139436725,3,,United Kingdom,"Disney World far out does Disneyland in Customer Service, rides and atmosphere. We arrived during the Labor Day week end. On purchasing our tickets we were advised it included a 'early bird ' admission at 7am and that was good for either the Saturday or Sunday we duly arrived at 7am the Saturday to find the parks were closed until 9am due to a marathon run. It's fair to say it was annoying to both my group and others we encountered not because of the run just the lack of communication.On entering the park at 9am I spoke to a man at the gate who said he was the Manager,I told him of my   our frustration on not being aware and his reply 'I've known for months', well your staff certainly didn't. Fortunatly the rest of he crew were not as smug as the manager and a lady called Emily could teach her manager one or two things about being helpful and polite. ",Disneyland_California
246145542,5,2014-12-01,United States,We are used to Disney World in Florida so this one is small by comparison.  But very clean.  Everyone was friendly and there were many similarities..but fewer rides than I had expected.  Glad I experienced it.,Disneyland_Paris
255545635,4,2014-12-01,Malaysia,"Lots of people when i visited in December. Overall found that the Disneyland is too small compare to Disneyland in Paris. Good for family with children. If for adults, can opt for Ocean Park than this.",Disneyland_HongKong
502888086,5,2017-07-01,United Kingdom,This was my first visit to Disneyland and was amazed from the beginning. Walking up main street to see the castle in front was jaw dropping. I sent the whole timw I was there in complete ow and was amazed throughout. The queues were quite big for the more popular rides but didnt end up waiting too long as the staff had it under control well. The parade was really good and the fireworks were just amazing,Disneyland_Paris
215996297,4,2014-07-01,United States,We went on July 6th expecting it to be packed but were pleasantly surprised. No long lines for rides. It's still ridiculously expensive for a one day ticket. The more days you buy the better the deal. For six people it cost $576. A bit steep but everyone enjoyed the day. We caught the mid day parade. Fun to watch.,Disneyland_California
215235417,5,2014-07-01,United States,"Disneyland, for a post holiday weekend, was not too crowded. The longest lines were about 50 70 mins, and we figured out that if you were willing to ride on your own, that you could ride things much quicker. The big rides have single rider lines that tend to be on the short side. Overall, it was a good trip. However, there were more people after 600pm we noticed, and that is when we decided to head out.",Disneyland_California
528848881,4,2017-09-01,United States,We had free tickets for the park September is a great time to go during the week not as much crowds and we managed our time well with the fast pass and the wait lines yes some of the rides broke down but we were able to use our fast pass for another ride then the ride we want was back on line you have to manage your time and check what you really want to see Go early and head for the ride you want We enjoyed all the rides but this will be it unless we have grandchildren that want to go some day getting a little too old for roller coasters ,Disneyland_California
205422832,3,2014-04-01,Ireland,"Eurodisney does in theory what it says on the tin.. it has the various disney attractions and  looks  like disney. But it completely lacks charm or ability to draw you in   and the reason is the disinterest and often, plain rudeness of the staff. They act as if they could not care less whether you are having a good time or not. Obvious opportunities to help give information or smile or even not look fed up.. ! The whole place seems understaffed, and empty of atmosphere. There were some good friendly staff, but they were outnumbered. That that was our impression of the french staff at our hotel, in the station, at the airport. Any query.. minimal information was given, even though it was obvious that extra information would help enormously. For example, at the station, we asked about getting to the airport by TGV  it turned out that there wasn't any for another 3 hours. Even though the information staff knew we wanted to get to the airport, he information staff never mentioned that there were alternative  slow  trains. Or buses. Or taxis. It took three different visits to the information desks to about the next option as we figured them out for ourselves. It's as if the whole approach is to provide minimum information even though it's obvious that the wider request hasn't been dealt with. This is one of several examples. In our hotel, we were checked into a dirty room that hadn't been cleaned. When we went back to reception, we politely told them, but they treated us as if it was our fault, and certainly no trace of an apology. We had a good time because we were happy to be there, but certainly not because of any charm of the people. And don't get me started at the relentless Disney merchandising or bad food...",Disneyland_Paris
138991976,5,2012-08-01,United Kingdom,"Disney is Disney!  Fun, busy, tiring and unforgettable.  Parks open 8 midnight which you need to get round everything.  Can be done in a day but you probably won't get to do everything in peak season.",Disneyland_California
510322506,5,2017-08-01,United States,"I took my 11 year old for her 3rd time. She was pretty young the first two times and didn't remember much. I love that this park is doable. You don't need 6 days to see and do it all. We had one day. We got an 8 am start and in an hour and a half we had walked right on Pirates, Haunted Mansion, Jungle Cruise, Splash Mountain, and the Pooh ride. At Splash Mountain they even asked if we wanted to stay on and go again. We had our pictures taken with Mickey, Minnie, Goofy and Pluto in Toontown and didn't wait more than 5 minutes for any of those. By the time we made our way to Fantasy Land around 11:30 it was crowded and wait times were about 35 minutes. I know, 35 minutes isn't bad, but I was so spoiled by the morning. We didn't use any fast passes and totally feel like it was our luckiest day ever. We stayed for the parade and fireworks. I wouldn't miss the fireworks, but you won't miss much if you pass on the electrical parade. Too many people trying to see something at eye level. That was the only annoying part of the whole day. I will be back!",Disneyland_California
354929859,5,2015-04-01,Philippines,The kids have a blast all the time! Make sure you arrive before the park opens to get maximum FUN!! The kids had their pictures taken with ALL the princesses and they super duper loved it. Bring a handy dandy notebook and pen so you could have the autographs of you fave princesses!,Disneyland_HongKong
121433324,4,2011-12-01,United States,"Great time as always, however bathrooms were surprisingly unkempt and rides broke down quite often.",Disneyland_California
431902957,5,2016-10-01,United Kingdom,"Wonderful stay with hubby & kids aged 3 & 9. The park was immaculate, rides were magical and the parades were so uplifting! Loved the Peter Pan ride and Buzz Lightyear. Meeting the characters in Cafe Mickey was brilliant for the kids. I loved all the different parts of the park. It looked amazing at night. I loved this place and can highly recommend to all! Would love to go again. Buying meal vouchers was a good move. ",Disneyland_Paris
5441704,5,,United Kingdom,"I've just been to DLRP for the fourth time, and we all had an amazing trip. The dates of our holiday were 25th June   1st July, which is high season (the queues were long). But with a whole week, we got everything done that we wanted to do, so my first tip is to make sure you allow yourself plenty of time to see everything.Secondly, the Fastpass system. You need to be pretty savvy to get the most out of this. Get to the park as early as you can (often its opened before the published time, especially during high season) and get all the Fastpasses you can immediately. Sometimes, it is possible to get multiple Fastpasses for the different attractions at over lapping times. Using this method, we did some of the busiest attractions (Big Thunder Mountain, Space Mountain, Buzz Lightyear's Lazer Blast, Star Tours) within a couple of hours. I stress again, be quick to get them  By 11am, the return time for Big Thunder Mountain was 18:00... and that often means you can't get another Fastpass until after that time!Eating out. Yes, its expensive, especially if you opt for table service restaurants. But some useful tips: the 'picnic' rule is not, in my experience, very well enforced. Most days on our holiday, we were literally taking in bags of food and nobody stopped us. Also, you do generally get what you pay for: for example, The Lucky Nugget in Frontierland costs 30Euros for adults, but you can eat all you want and the food is delicious, plus there are loads of characters and music while you eat. Book seats for all restaurants in advance to save having to wait for a table later on (you can do this in your Disney hotel or if you're staying off site at City Hall on Main Street).Finally, where to stay. My biggest tip for anybody thinking of going: stay in a Disney hotel. Its a little more expensive, but there are big benefits. Firstly, as the parks are very tiring its easy to walk back to your hotel for a freshen up before popping back (priceless in the summer when the main park is open until 11pm). You get free a shuttle service between your hotel and the parks, and the theming is brilliant. If you're on a budget, go to the Cheyenne and NOT the Santa Fe  Its only a few quid more but the rooms are bigger, the theming is fantastic and you get free Disney TV (you have to pay extra in Santa Fe!).I've been to Florida, and yes its an amazing place. I think many people are disappointed with Paris because they expect it to be the same thing  Its not. The Paris resort is not simply a small scale version of other DIsney resorts (when its finished, its going to be nearly as big as Florida anyway!); it has its own atmosphere and does things differently, but as long as you are prepared, make sure you've got plenty of time and read up on the resort as much as possible, I can't see how you could fail to have a fantastic time.",Disneyland_Paris
229381896,5,2013-12-01,United Kingdom,"As a major fan of Disney I have visited this park three times and am still yet to complete every aspect of the park. My first visit was during New Years. The park had its Christmas displays up, with a 100ft Christmas tree in the middle of Main Street, which made it feel so festive still! As we went at this time it did mean there were a great many people around and this did mean longer queue times but that was expected. We did meet some characters, got my autograph book signed by Belle and had a photo with Beast. The food at the park was reasonably priced and were well portioned. As we wanted to see the parade we did get to a spot along the route early, as there were so many people, so that we could get a 'front row seat' to it and sure enough we weren't disappointed, it was a fantastic show! As it was New Years there was to be a fireworks display at Sleeping Beauty's Castle. By the time we were ready to go see the fireworks Main Street had pretty much filled up so we went and stood up on the Main Street Station Platform which gave an amazing view and also offered more space than being on the crowded street below! The fireworks   AMAZING! It must have cost a packet to put on such a wonderful display and the end was just mind blowing, the sky filled with streams and streams of fireworks!! The second and third times I went were with my respective Primary school and High school, but the magic of the place had still not worn off. For both of these visits we went during what was still the French and English school term and so it meant there were very short queues for most things, with only slightly longer queues at things like Space Mountain and Big Thunder Mountain, but again these didn't take very long! Because of this we did manage to go on plenty of rides and make the most out of the money we paid to enter. During my High school visit all the rides were open apart from the Indiana Jones one. In the last couple of hours of the park being open, because there were so few people in the park, it meant that once we had got on a ride, in this case The Pirates of the Caribbean, it meant that once we'd gone round once we were allowed to stay on the ride and go round again and again without having to requeue. Souvenirs that were bought form the park were also good value, at the time I bought a mug and a beer glass to take home to parents which cost 7.90 euros and 4.50 euros. The Disney Village was nice too, the store was huge and there was so much to look at and to buy! Overall an amazing time was had all three times and if you are a Disney fan it is a must!",Disneyland_Paris
175969755,5,2013-08-01,United States,We love Disneyland. Things we love: *Atmosphere*Employees are always nice and helpful*Turkey Legs*Rides for everyone big or small*The shows and parades are awesome!Cons:*Always crowded and have to wait in line*Seems to always be 100 degrees when we go in August*Water is $4 a bottle*Expensive for a family to get park hopper ticketsThe Pros' outweigh the Cons. A trip to Disneyland is totally worth it!,Disneyland_California
586165458,4,2018-04-01,United Kingdom,Reach early and stay long if you want to make more from your visit.....Plan and make full use of fast pass for rides. Meet and greet princess took a lot of time so avoid it if its long waiting time in morning and try to do it in later half......Illuminations are worth watching so try not to miss that....,Disneyland_Paris
615510722,4,2018-09-01,United Kingdom,"It   s my second time to Disneyland Paris. Unfortunately I didn   t pre book entry tickets to the park. On arrival to the ticket booth I was shocked to be told it will be    380 for 3 kids and two adults. Whatever you do book and pay in advance for your tickets, you can save a lot of money from websites that are re sellers with upto 40% discount!",Disneyland_Paris
542514840,5,2017-11-01,Singapore,"This is my 2nd time here. First time with Husband, current 2nd time with my 2 year old toddler. A small Disneyland with lesser rides compared to the other theme parks. But the program for the kids are packed plenty, such as the shows and parades. With a toddler, these are more than enough to be kept occupied the entire day, together with the rides.Having gone to the other theme parks, Disneyland really is one of the few that can create a magical experience for the kids. Strongly recommended for kids and family. If you   re going as a couple, it   ll still be fun, but you   ll run out of rides pretty quickly.",Disneyland_HongKong
460209200,4,2016-06-01,Philippines,"Visiting with your family in  The Happiest Place On Earth , and seeing the joy in the eyes of your children is priceless. Though a day is not enough to stroll the whole park and enjoy the amenities offered, you would not mind it for as long as everyone is having a good time.",Disneyland_Paris
370734290,5,2016-05-01,United States,"As a southern Californian I've been going to Disneyland since I was little, even worked there for a while, and I never tire of it. Yes, there will be crowds. Expect them; better still, plan to go in the off season. If you go at Christmas you'll be part of a mob and spend lots of time in line. Understand that a big part of Disneyland is soaking up the atmosphere and just appreciating the fact that you're there. Use FastPass wisely to cut some of the waiting time.It's really more fun without the kids! Parents, please know that your toddlers will not appreciate the park yet and may even be frightened by the life size characters. Don't take them till they're four or five.",Disneyland_California
121540033,4,2011-12-01,Singapore,"Excellent day out, went on a Sunday... plenty of rides to go on, don't expect a Florida size park or number of rides however the do have the classic Water ride and Space Mountain and Toy Story rides for the older children and plenty to do for the younger ones, the queues on the Sunday morning were not to bad max waiting time was 10 minutes each ride... If you want to see the fireworks they started at 9pm and lasted 10 minutes but was an excellent end to the day... try and get nearer the castle to see the fires works esp. if you want to take pictures or film it as the effects work better nearer.Best way to get there is on the MTR on arrival it is a 5 7 minute walk otherwise you drive and park but have to navigate the main roads, tolls and parking charges. They do offer a yearly pass so if you intend to go more than once keep this in mind, esp. if you think your have guests staying in the next 12 months will work out much cheaper for yourself.Enough eating places to cater for all tastes.... They have lockers so you can leave coats, bags ect in them so you don't have to lug them about.",Disneyland_HongKong
127026689,5,2011-12-01,United Kingdom,"disney excellent much better than I expected, lots to do there, if you have kids expect to be there full day and dont miss the parades they are amazing also the fireworks in the evening  a must see",Disneyland_HongKong
