review_id,touchpoint,sentiment,code,text_excerpt,travel_party,first_visit,visit_timing
122993372,attractions,positive,complete attractions in day,you can enjoy all attractions just in one day,tour group,No,September
122993372,staff,positive,nice multilingual cast members,"The cast members speak Mandarin and English, very nice",tour group,No,September
122993372,entertainment,positive,halloween season parades,because beside having 2 parades,tour group,No,September
122993372,timing,positive,pleasant halloween temperature,the temperature is nice too,tour group,No,September
122993372,food/beverage,positive,worthwhile royal banquet lunch,it was good and worth the money.,tour group,No,September
295783819,food/beverage,negative,high food costs,food and shops are very expensive,,,
295783819,retail,negative,high shop costs,food and shops are very expensive,,,
325766317,timing,neutral,park crowding peaks midday,Park fills up about 11am,,,
325766317,timing,neutral,park empties late,Becomes more empty after 9pm,,,
325766317,attractions,positive,Indiana Jones worth queue,Indiana Jones one of the few that is worth the wait,,,
325766317,attractions,negative,Bobsled coaster not worth,Bobsled coaster not so much.,,,
368610237,entertainment,positive,must see parade,The Paint the Night parade a must see,,,weekday
368610237,entertainment,positive,fantastic fireworks show,of course the fireworks,,,weekday
368610237,attractions,positive,shorter ride queues weekday,During the week lines are shorter.,,,weekday
368610237,recommendation,positive,general visit recommendation,Well worth it.,,,weekday
330527464,entry/admission,positive,increased security measures,I would like to say how safe I felt at Disney this last few days. After recent events I had my concerns but this was unfounded.,,,
330527464,entry/admission,neutral,armed soldiers presence,There were armed soldiers at the entrance to the train station.,,,
330527464,entry/admission,neutral,bag scanning implemented,The screening system that was in place consisted of all bags being scanned,,,
330527464,entry/admission,neutral,people being searched,people being searched,,,
330527464,entry/admission,neutral,full body scans present,full body scans,,,
330527464,attractions,positive,ride closure for safety,"Any hint of uncertainty and rides were closed down ( haunted mansion had a bag left ,closed down within minutes and fully checked)",,,
330527464,staff,positive,vigilant security staff,fully checked,,,
330527464,facilities,positive,increased security at hotel,We stayed at the Santa Fe and increased security was evident there as well.,,,
129268119,atmosphere,positive,amazing place,"What an amazing place, we loved it!",,,
129268119,recommendation,positive,enthusiastic park recommendation,"Is a great park for both kids and adults, so much to see and do.",,,
129268119,timing,positive,multiple day visit needed,Make sure you give yourself 3 or 4 days to visit as you will need it to really experience everything without being rushed.,,,
271764843,timing,neutral,easter holiday visit timing,from Good Friday to Easter Monday,family,Unknown,Easter
271764843,attractions,positive,excellent ride experience,The rides were excellent,family,Unknown,Easter
271764843,attractions,positive,fairly good wait times,with fairly good wait times,family,Unknown,Easter
271764843,attractions,positive,early park access benefit,had early access to the park,family,Unknown,Easter
271764843,entertainment,positive,enjoyable parade experience,We particularly enjoyed the parade,family,Unknown,Easter
271764843,recommendation,positive,definite return recommendation,We would definitely go back again,family,Unknown,Easter
154428410,comparison,neutral,disneyland disney world comparison,Everyone tries to compare disneyland to disney world well....you can't!,,,
154428410,atmosphere,positive,disneyland has special history,Disneyland is special for its history.,,,
154428410,attractions,positive,"unique lands experiences, rides",The lands have unique experiences and rides that are different.,,,
154428410,atmosphere,positive,enjoyed french quarter area,We really enjoyed the French quarter.,,,
154428410,navigation,positive,condensed park layout,I love that its condense and you don't have to take a bus or monorail every where to enjoy yourself.,,,
154428410,atmosphere,positive,magical experience,The experience was magical,,,
526000751,attractions,negative,awful wait times children,the awful wait times for children exhibits rides.,adults,Yes,
526000751,retail,negative,overwhelming souvenir shop quantity,I was surprised overwhelmed at the amount of souvenir shops. Every other building seemed to be for shopping.,adults,Yes,
526000751,atmosphere,positive,fun park themes,The themes throughout the park were fun to experience,adults,Yes,
526000751,attractions,negative,need more theme rides,but need to have more rides exhibits that enlighten one's knowledge of that theme.,adults,Yes,
526000751,navigation,negative,looooong queues general,the looooong lines,adults,Yes,
526000751,navigation,negative,crowding parent children strollers,the hordes of parents kids with strollers banging into your shins,adults,Yes,
526000751,entertainment,positive,enjoy the parade,Enjoy the parade,adults,Yes,
569545065,comparison,neutral,similar to Hollywood Studios,one is similar to Hollywood Studios in Orlando,,,
569545065,comparison,neutral,similar to Magic Kingdom,the Other one its similar to Magic Kingdom,,,
569545065,atmosphere,positive,magical park atmosphere,Both are magical and amazing,,,
184212128,staff,positive,"helpful, accommodating staff","The staff , facilities and rides were amazing! Nothing was too much for them.",family,yes,
184212128,facilities,positive,amazing disability support,"The staff , facilities and rides were amazing! Nothing was too much for them.",family,yes,
184212128,attractions,positive,enjoyable ride experience,"The staff , facilities and rides were amazing!",family,yes,
184212128,facilities,positive,easy access for disabled,The green card they gave us allowed us quicker entry and easier access to rides etc.,family,yes,
184212128,staff,positive,friendly personalized interaction,The staff called out daughter by her name and always smiled and made a fuss!,family,yes,
184212128,facilities,positive,accommodating pushchair access,Two or three rides and restaurants don't allow push chairs but we could for our girl and wasn't a problem.,family,yes,
184212128,entertainment,positive,helpful parade areas,The allocated areas for the parade and fireworks really helped also!,family,yes,
184212128,characters,positive,memorable character interaction,"I would especially like to thank Rupanzle, she spent ages with our little girl and later that day spotted here out during the parade and pointed to her and shouted  it's you!",family,yes,
184212128,characters,positive,special personal acknowledgement,And blow a kiss. Made my girl so happy and me and my wife nearly cry!,family,yes,
147272137,recommendation,positive,recommend two day pass,"Get a 2 day pass, its well worth it as you can explore the park at a more leisurely pace",,,
147272137,facilities,positive,very clean toilet facilities,Very clean toilets,,,
147272137,food/beverage,positive,variety of eateries,many eateries with a variety of food,,,
147272137,attractions,positive,manageable ride queue times,Queueing time for the rides were 40 mins max,,,
147272137,attractions,positive,efficient ride queue management,and managed excellently,,,
147272137,entertainment,positive,enjoyable lion king show,The LION KING show was AWESOME,,,
147272137,entertainment,positive,enjoyable lion king show,we went twice for this,,,
147272137,entertainment,positive,enjoyable stitch adventure,Stitch Adventure was good too.,,,
147272137,entertainment,positive,fantastic flights of fantasy,Flights of fantasy parade was feast to the eyes!,,,
147272137,atmosphere,negative,underwhelming castle lighting,pretty disappointed that the Sleeping beauty castle was not lit up as magiacally as expected,,,
147272137,atmosphere,negative,haunted castle appearance,looked more like a haunted castle by night !,,,
147272137,entertainment,negative,unimpressive fireworks display,And the fireworks are nothing to shout about.,,,
579457493,entry/admission,negative,strict security screening process,"If you enjoy the TSA screening process at airports, you'll love your visit.",,,
579457493,entry/admission,negative,inconsistent item restrictions,"In fact, some items the TSA has no problems with won't pass Disney tests.",,,
579457493,entry/admission,negative,refusal to store item,"Seurity wouldn't allow storage in a locker, leaving the item outside the screening area, or even outside the front gate clear out by the street.",,,
579457493,entry/admission,negative,forced item removal,Required me to personally remove the item from Disney property even after I told them to throw it away.,,,
579457493,staff,positive,generally helpful employees,Most Disney employees seem to go out of their way to make the guest experience great,,,
579457493,staff,negative,obnoxious security staff,some of the security staff are unbelievably obnoxious and rude.,,,
340664992,timing,negative,crowded Christmas time visit,"We visited at Christmastime 2015, was very crowded",family,Unknown,Christmastime 2015
340664992,attractions,negative,frequent ride breakdown frequency,3 attractions broke down in the two days when we visited,family,Unknown,Christmastime 2015
340664992,attractions,negative,attraction closures disappointment,almost all the attractions of the Wild West was closed,family,Unknown,Christmastime 2015
340664992,attractions,negative,excessive attraction queue times,We had to queue for 45 minutes to 1 hour to each attraction.,family,Unknown,Christmastime 2015
340664992,entry/admission,negative,high cost for family,Considering the amount of money you pay as a family of 4,family,Unknown,Christmastime 2015
340664992,navigation,negative,crowding induced tiredness,very very tiring with all the crowd,family,Unknown,Christmastime 2015
340664992,recommendation,negative,unlikely to revisit,I don't think we will ever visit again.,family,Unknown,Christmastime 2015
257739559,atmosphere,positive,quality bonding time,Disneyland is a time for my daughter and I to spend quality time together,family,No,
257739559,food/beverage,neutral,try different restaurants,"Whenever we go, we always try a different place to eat",family,No,
257739559,navigation,positive,enjoyable walking exercise,It's a great place to get some exercising while doing lots of walking.,family,No,
282292543,entertainment,positive,amazing parade experience,the parades were amazing,,,
282292543,attractions,positive,enjoyable ride experience,good rides,,,
282292543,characters,positive,memorable character signatures,get to have signatures off the characters which was cool,,,
282292543,staff,negative,rude guest behavior,Only negative is that the french are very rude (they push you out the way to get in front),,,
139436725,comparison,negative,Disney World better overall,"Disney World far out does Disneyland in Customer Service, rides and atmosphere.",,,Labor Day week end
139436725,entry/admission,negative,misinformed early admission,On purchasing our tickets we were advised it included a 'early bird ' admission at 7am and that was good for either the Saturday or Sunday we duly arrived at 7am the Saturday to find the parks were closed until 9am due to a marathon run.,,,Labor Day week end
139436725,entry/admission,negative,poor communication marathon,It's fair to say it was annoying to both my group and others we encountered not because of the run just the lack of communication.,,,Labor Day week end
139436725,staff,negative,smug manager unhelpful,"I spoke to a man at the gate who said he was the Manager,I told him of my our frustration on not being aware and his reply 'I've known for months', well your staff certainly didn't.",,,Labor Day week end
139436725,staff,positive,helpful and polite staff,Fortunatly the rest of he crew were not as smug as the manager and a lady called Emily could teach her manager one or two things about being helpful and polite.,,,Labor Day week end
246145542,comparison,neutral,smaller size compared,this one is small by comparison,,,
246145542,cleanliness,positive,very clean park,But very clean.,,,
246145542,staff,positive,friendly staff interaction,Everyone was friendly,,,
246145542,comparison,neutral,many similarities noted,there were many similarities,,,
246145542,attractions,negative,fewer rides than expected,fewer rides than I had expected,,,
255545635,navigation,negative,park crowding during visit,Lots of people when i visited in December.,family,,December
255545635,comparison,negative,smaller than Paris Disneyland,Disneyland is too small compare to Disneyland in Paris.,family,,December
255545635,recommendation,positive,good family recommendation,Good for family with children.,family,,December
255545635,recommendation,negative,adults prefer Ocean Park,"If for adults, can opt for Ocean Park than this.",family,,December
502888086,atmosphere,positive,jaw-dropping main street view,Walking up main street to see the castle in front was jaw dropping.,,Yes,
502888086,atmosphere,positive,complete awe throughout visit,I sent the whole timw I was there in complete ow and was amazed throughout.,,Yes,
502888086,attractions,negative,big ride queues,The queues were quite big for the more popular rides,,Yes,
502888086,staff,positive,staff managed queues well,staff had it under control well,,Yes,
502888086,entertainment,positive,good parade experience,The parade was really good,,Yes,
502888086,entertainment,positive,amazing fireworks display,the fireworks were just amazing,,Yes,
215996297,attractions,positive,minimal ride queue times,No long lines for rides.,family,,July
215996297,entry/admission,negative,excessive ticket pricing,It's still ridiculously expensive for a one day ticket.,family,,July
215996297,entry/admission,neutral,multi-day ticket discount,The more days you buy the better the deal.,family,,July
215996297,entry/admission,negative,expensive admission cost,For six people it cost $576. A bit steep,family,,July
215996297,entertainment,positive,enjoyable parade viewing,We caught the mid day parade. Fun to watch.,family,,July
215235417,navigation,positive,manageable post holiday crowding,"Disneyland, for a post holiday weekend, was not too crowded.",,,post holiday weekend
215235417,attractions,neutral,ride queue wait times,The longest lines were about 50 70 mins,,,post holiday weekend
215235417,attractions,positive,faster single rider option,"if you were willing to ride on your own, that you could ride things much quicker",,,post holiday weekend
215235417,attractions,positive,short single rider lines,The big rides have single rider lines that tend to be on the short side.,,,post holiday weekend
215235417,navigation,negative,increased crowding after 6pm,there were more people after 600pm we noticed,,,post holiday weekend
528848881,entry/admission,neutral,free ticket admission,We had free tickets for the park,,,September
528848881,timing,positive,September weekday visit timing,September is a great time to go during the week not as much crowds,,,September
528848881,attractions,positive,effective fast pass usage,we managed our time well with the fast pass,,,September
528848881,attractions,neutral,ride wait lines,the wait lines,,,September
528848881,attractions,negative,occasional ride breakdowns,some of the rides broke down,,,September
528848881,attractions,positive,fastpass for alternative ride,we were able to use our fast pass for another ride then the ride we want was back on line,,,September
528848881,attractions,positive,enjoyed the rides,We enjoyed all the rides,,,September
528848881,recommendation,negative,potentially last visit,this will be it unless we have grandchildren that want to go some day getting a little too old for roller coasters,,,September
205422832,atmosphere,negative,lacks charm or immersion,it completely lacks charm or ability to draw you in,,,
205422832,staff,negative,disinterested and rude staff,"the disinterest and often, plain rudeness of the staff",,,
205422832,staff,negative,staff lack helpfulness,They act as if they could not care less whether you are having a good time or not.,,,
205422832,staff,negative,staff provide minimal information,"minimal information was given, even though it was obvious that extra information would help enormously.",,,
205422832,facilities,negative,dirty room at hotel,we were checked into a dirty room that hadn't been cleaned.,,,
205422832,staff,negative,unapologetic staff response,"they treated us as if it was our fault, and certainly no trace of an apology.",,,
205422832,retail,negative,relentless disney merchandising,relentless Disney merchandising,,,
205422832,food/beverage,negative,bad food quality,bad food,,,
205422832,navigation,negative,understaffed park atmosphere,"The whole place seems understaffed, and empty of atmosphere.",,,
138991976,atmosphere,positive,general positive park experience,Disney is Disney! Fun,,,peak season
138991976,navigation,negative,busy park experience,busy,,,peak season
138991976,navigation,negative,tiring park experience,tiring,,,peak season
